epoch,loss,accuracy,binary_f1
1,1426.6764555573463,0.5997706422018348,0.6747437092264679
2,1366.4169438779354,0.6422018348623854,0.6848484848484848
3,1288.9882520139217,0.6731651376146789,0.6990496304118269
4,1212.6284705400467,0.6995412844036697,0.731006160164271
5,1141.3288164436817,0.7224770642201835,0.7420042643923241
6,1073.5249550044537,0.7282110091743119,0.7415485278080699
7,1010.9324617832899,0.7419724770642202,0.7474747474747474
8,951.9816618412733,0.7568807339449541,0.7665198237885462
9,897.9349049925804,0.7660550458715596,0.777292576419214
10,849.5255679488182,0.768348623853211,0.7760532150776054
11,804.8397964462638,0.7614678899082569,0.7523809523809525
12,765.4444007873535,0.7763761467889908,0.7786606129398411
13,729.9219567477703,0.7786697247706422,0.7872105843439912
14,696.200993552804,0.7775229357798165,0.7775229357798165
15,666.3530187308788,0.7821100917431193,0.7912087912087912
16,640.2416910864413,0.7912844036697247,0.7936507936507937
17,614.4715392589569,0.783256880733945,0.7878787878787878
18,590.9363289102912,0.783256880733945,0.7938931297709925
19,570.1334638223052,0.7935779816513762,0.7916666666666666
20,550.037880577147,0.7935779816513762,0.7982062780269059
21,531.9786797612906,0.7889908256880734,0.7991266375545851
22,515.2484655641019,0.7947247706422018,0.8008898776418242
23,498.8962310515344,0.8027522935779816,0.8041002277904328
24,483.70817175135016,0.7981651376146789,0.8
25,469.9598647132516,0.7981651376146789,0.8022471910112359
26,456.84671749919653,0.8004587155963303,0.802721088435374
27,443.5081464648247,0.7993119266055045,0.8057713651498335
28,432.2355135753751,0.8027522935779816,0.8049886621315194
29,421.0613949112594,0.8027522935779816,0.8058690744920993
30,410.2750454470515,0.7970183486238532,0.7920094007050529
