epoch,loss,accuracy,macro_f1,weighted_f1
1,421.45576786994934,0.27157129881925524,0.1287533379612974,0.16482055966609258
2,417.9333165884018,0.27520435967302453,0.13740406128749044,0.17671472840184602
3,416.8733787536621,0.28792007266121705,0.14860125652486483,0.1913806758307399
4,415.87383675575256,0.28792007266121705,0.1495613134589852,0.1926541423061219
5,414.73809015750885,0.29427792915531337,0.15548125149271558,0.20049961215004958
6,412.9684388637543,0.29336966394187103,0.1548639024720145,0.1996784671653193
7,411.02698945999146,0.3060853769300636,0.16151454643420032,0.20847584604434483
8,408.80969977378845,0.30154405086285196,0.16099986127548202,0.20727423033636633
9,406.57426476478577,0.3006357856494096,0.1585694390042216,0.20389779641931496
10,404.12586510181427,0.3060853769300636,0.16310646982082386,0.20994863427003035
11,402.01018154621124,0.3106267029972752,0.16722977925953644,0.21429383991911344
12,399.56076192855835,0.3115349682107175,0.16418248842587807,0.21115135323655543
13,397.52882266044617,0.3169845594913715,0.17471745557487756,0.2217847951210402
14,395.25184190273285,0.3188010899182561,0.1764598913912882,0.22409355769161832
15,393.1033356189728,0.3242506811989101,0.17974682099709532,0.22835207827786322
16,390.78003096580505,0.3169845594913715,0.17225114020222004,0.21942149156870486
17,388.732385635376,0.31970935513169846,0.1745419598380718,0.2224414462179604
18,387.0233256816864,0.3278837420526794,0.19341259233578495,0.23878987062002185
19,384.8182762861252,0.3224341507720254,0.19047729043942285,0.2350622891072624
20,382.62701773643494,0.3278837420526794,0.18670265101927375,0.23429932955736402
21,380.71197068691254,0.32697547683923706,0.20710110323755235,0.24959581191992675
22,378.82357585430145,0.3260672116257947,0.19854171538544804,0.24290013290624607
23,376.57696545124054,0.3260672116257947,0.1986321934549285,0.2430278148599352
24,374.8356578350067,0.32879200726612173,0.20809908178997466,0.25148383314076467
25,372.68828201293945,0.335149863760218,0.215484535098683,0.25874719050171946
26,370.7007169723511,0.3315168029064487,0.21211775138429761,0.25578528277039253
27,368.49536633491516,0.3333333333333333,0.22030983798883397,0.26204212356755674
28,366.66880786418915,0.3278837420526794,0.2119289464838417,0.25476799371766873
29,364.5570446252823,0.3333333333333333,0.2260526858874973,0.2658723515154983
30,362.43997025489807,0.32879200726612173,0.2127163857810558,0.25619884457850495
31,360.47412753105164,0.3333333333333333,0.22933458741884544,0.2680356233063138
32,358.2492034435272,0.3333333333333333,0.22842730321338522,0.2678733284468706
33,356.3364486694336,0.335149863760218,0.2287493341934434,0.2698458167175667
34,354.0974010229111,0.3369663941871026,0.23637713025381965,0.27672841067575465
35,352.1615996360779,0.3369663941871026,0.2389524407019159,0.27623454409539216
36,349.8285664319992,0.3405994550408719,0.24139785603458347,0.28047658128962205
37,347.50582402944565,0.33605812897366033,0.2531002188043008,0.28990060381286814
38,345.76995545625687,0.3387829246139873,0.2453679182453466,0.28403472358199894
39,343.4165633916855,0.34150772025431425,0.24702867870199618,0.28591407411646913
40,341.3356227874756,0.33969118982742963,0.257144225882108,0.29203099740729627
